X,Y,Z,
121.5110423,25.0538358,大同區南京西路217號,
121.5137698,25.07349762,大同區重慶北路3段296巷與重慶北路3段口,
121.5101532,25.04825,大同區忠孝西路1段與塔城街口,
121.5109215,25.06773784,大同區延平北路3段95號,
121.5111847,25.03533025,中正區愛國西路26號（測試案件）,
121.5166526,25.04882954,大同區市民大道1段與承德路1段口,
121.5081177,25.05039408,大同區鄭州路與西寧北路口,
121.5182341,25.06298787,大同區承德路2段與民權西路口,
121.5119174,25.06068351,大同區涼州街與保安街49巷口,
121.516561,25.0488992,大同區承德路1段與市民大道1段口,
121.5182582,25.06364536,大同區承德路3段8巷,
121.5167101,25.05566867,大同區太原路165號,
121.5139559,25.07537877,大同區重慶北路3段363號,
121.5183554,25.06200111,大同區承德路2段235號,
121.5088552,25.07763273,大同區環河北路2段377號,
121.5112868,25.0627616,大同區民權西路與延平北路2段口,
121.5126028,25.05533732,大同區南京西路167巷17號,
121.5155591,25.06862054,大同區民族西路165號,
121.5134215,25.04958365,大同區重慶北路1段與市民大道1段口,
121.5195809,25.04925943,大同區華陰街28號,
121.5161416,25.06867257,大同區民族西路149號,
121.5120181,25.07638262,大同區延平北路4段與敦煌路口,
121.5103585,25.0494731,大同區塔城街北門站2號出口,
121.5178955,25.05359644,大同區承德路2段3號,
121.5105745,25.06394231,大同區延平北路3段18巷7號,
121.5135719,25.0607405,大同區重慶北路2段與涼州街口,
121.5192856,25.07455902,大同區敦煌路24巷37號,
121.5159768,25.0629996,大同區大龍街與民權西路口,
121.5136828,25.06273854,大同區重慶北路2段263號,
121.5142084,25.05362684,大同區重慶北路1段與天水路口,
121.5198627,25.05708242,大同區赤峰街77巷5號,
121.5148437,25.06307998,大同區民權西路與蘭州街口,
121.5083324,25.06328603,大同區台北橋機車道往東,
121.5155697,25.06293357,大同區台北橋汽車道,
121.5094949,25.0762834,大同區環河北路2段與敦煌路口,
121.5114935,25.0583047,大同區延平北路2段與歸綏街口,
121.5138759,25.0515997,大同區重慶北路1段與長安西路口,
121.5117594,25.0538882,大同區延平北路2段與南京西路口,
121.5136791,25.06864367,大同區重慶北路3段與民族西路口,
121.5093207,25.05044717,大同區鄭州路145號中興醫院出入口,
121.5168371,25.05045464,大同區承德路1段與承德路1段24巷口,
121.5121967,25.06283218,大同區民權西路與民權西路225巷口,
121.5156425,25.05198211,大同區太原路與太原路76巷口,
121.5159297,25.06162983,大同區民權西路160巷與民權西路144巷19弄口,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.5168415,25.04980609,大同區承德路1段與華陰街口,
121.5110452,25.06541364,大同區延平北路3段與延平北路3段66巷口,
121.5050863,25.04955931,大同區忠孝橋汽車道往三重,
121.5112165,25.06312591,大同區民權西路與延平北路3段口,
121.5083665,25.06357243,大同區台北橋機車道往三重,
121.5120264,25.04996665,大同區鄭州路與延平北路1段口,
121.5091685,25.07727551,大同區環河北路2段305號,
121.5184111,25.06853193,大同區承德路3段與民族西路口,
121.5158821,25.07126258,大同區大龍街288號,
121.5167258,25.05800945,大同區民生西路171巷與萬全街口,
121.51325,25.04951015,大同區重慶北路1段與鄭州路口,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.510987,25.05448816,大同區民樂街35號,
121.5122311,25.05696004,大同區民生西路300-4號,
121.5111827,25.05924841,大同區延平北路2段210巷與延平北路2段口,
121.5147031,25.06289086,大同區民權西路與蘭州街口,
121.5154502,25.07299484,大同區哈密街61號,
